time,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH,DE_Total
123,20.8032,0,32.08575,19.45195714,3.655,3.566033333,3.8537,105.3484,648.5211,325.8253,73.02336667,1332.5065,3.0591,9.6446,13.77,5.7068,2600.820807
124,49.8016,0.1099,30.967,16.76892857,3.6679,8.0011,4.3966,167.9949,682.52025,350.9716,89.49053333,1352.2997,3.0591,2.943733333,8.262,7.782,2779.036845
125,93.9296,1.1932,31.034125,25.16581429,4.1022,14.77356667,5.785,250.0746,788.323575,393.0359,106.6391,1447.0243,3.564,0.387333333,16.524,11.4136,3192.969914
126,173.36,3.5796,32.824125,45.48727143,4.9192,25.74136667,7.743,344.1722,955.0209,466.6292,130.9423667,1608.9044,4.9599,2.052866667,46.818,21.5302,3874.684596
127,281.7888,6.751,36.762125,72.3424,5.9383,39.79573333,9.8523,418.8366,1156.732275,545.9131,160.4697,1790.5777,7.3953,10.38053333,106.947,40.4664,4690.949267
128,318.9824,7.8657,37.90325,82.2547,6.3296,41.41393333,9.9057,434.69,1251.625425,504.1564,172.0535,1928.4232,8.5239,25.29286667,148.257,43.1901,5020.867675
129,361.2192,9.0903,25.306125,59.07631429,5.4954,27.35956667,6.8975,431.1102,1037.73525,346.9728,138.8920333,2001.9408,5.1381,30.01833333,100.521,28.0152,4614.788123
130,470.9088,10.8644,10.404375,32.64351429,4.4161,28.768,4.5657,460.7714,911.126475,282.4537,101.6421667,2062.7342,2.5542,40.7862,166.158,42.801,4633.598231
131,637.3344,13.1095,3.44575,27.22777143,3.6808,37.87786667,5.2599,530.3218,995.870625,283.9148,91.53473333,2065.5618,1.9305,56.4732,281.826,56.0304,5091.399846
132,799.3472,16.7676,1.588625,31.67464286,3.9861,40.455,7.6718,592.9683,1090.256325,296.834,101.9828667,2160.2864,2.9997,68.4418,349.758,58.8838,5623.90216
133,813.216,16.2966,2.506,46.15802857,5.0783,43.93113333,8.5084,602.1735,1175.76165,337.4372,132.0780333,2331.3562,6.5637,76.61453333,355.266,62.3857,6015.330979
134,1217.9328,21.2264,9.822625,107.2217714,7.2154,55.8279,11.7124,719.2841,1586.79615,488.0074,205.7828,2483.3397,13.8699,136.2251333,586.143,96.8859,7747.29338
135,1796.0096,32.7345,28.41625,229.5976857,9.7395,94.69466667,16.0912,882.6764,2216.795325,746.1607,351.3752667,2770.3411,30.5316,239.1008667,945.081,174.7059,10564.05156
136,1816.1824,34.1161,53.901375,336.2729143,10.1351,117.9787667,18.1115,935.0949,2412.4173,876.0448,474.0272667,2932.2212,46.1241,306.4581333,1099.305,240.8529,11709.24376
137,1806.096,33.598,78.6705,355.1783286,9.6449,111.7157333,18.0225,1079.5654,2363.7021,865.6633,485.7246333,3046.739,45.2925,325.8248,1047.897,257.9733,11931.308
138,1894.352,35.1052,96.481,311.6039571,9.3568,96.07313333,16.3493,1231.1955,2332.2402,842.4395,451.4275,3029.0665,35.343,322.5324667,964.359,255.7684,11923.69346
139,1852.1152,34.1161,108.585875,268.2531714,9.2192,80.76016667,15.9221,1311.4853,2336.80725,847.2073,409.5214,2845.9794,28.3338,312.7716667,884.034,256.5466,11601.65853
140,1793.488,31.5413,116.35,252.2295286,9.2665,75.0665,14.3557,1329.8957,2372.32875,882.5813,411.1113333,2502.426,29.0169,306.8067333,836.757,260.3079,11223.52915
141,1739.2736,30.2225,127.380875,250.0433571,10.8231,68.89336667,12.8783,1299.9788,2502.7434,913.3413,430.8719333,2092.424,30.7989,300.6094,851.445,267.7008,10929.42863
